,Route Name,Week Number,Step2 WL,Step2 Q Time,Step2 Clin Mins,Step2 Admin Mins,Step2 Sessions,Step2 DNAs,Step2 Dropout,Step2 Complete,Step2 Caseload,Run
0,PwP,0,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
1,Group,0,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
2,PwP,1,0,,90.0,45.0,3,1.0,0.0,0.0,0,0
3,Group,1,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
4,PwP,2,0,,210.0,105.0,7,1.0,0.0,0.0,0,0
5,Group,2,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
6,PwP,3,0,,345.0,165.0,11,3.0,0.0,0.0,1,0
7,Group,3,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
8,PwP,4,0,,405.0,195.0,13,4.0,0.0,0.0,1,0
9,Group,4,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
10,PwP,5,0,,465.0,225.0,15,4.0,0.0,0.0,1,0
11,Group,5,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
12,PwP,6,0,,585.0,285.0,19,6.0,0.0,0.0,1,0
13,Group,6,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
14,PwP,7,0,,675.0,330.0,22,6.0,0.0,0.0,2,0
15,Group,7,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
16,PwP,8,0,,735.0,360.0,24,6.0,0.0,0.0,2,0
17,Group,8,0,,0.0,0.0,0,0.0,0.0,0.0,0,0
18,PwP,9,0,,825.0,405.0,27,7.0,0.0,0.0,2,0
19,Group,9,1,,720.0,45.0,3,1.0,0.0,0.0,0,0
20,PwP,10,0,,945.0,465.0,31,7.0,0.0,0.0,2,0
21,Group,10,1,,1440.0,90.0,6,2.0,0.0,0.0,0,0
22,PwP,11,0,,975.0,495.0,33,8.0,0.0,0.0,2,0
23,Group,11,1,,2160.0,135.0,9,2.0,0.0,0.0,0,0
24,PwP,12,0,,1005.0,510.0,34,8.0,0.0,0.0,2,0
25,Group,12,0,,2640.0,180.0,12,5.0,0.0,0.0,0,0
26,PwP,13,0,,1065.0,555.0,37,9.0,0.0,0.0,2,0
27,Group,13,0,,2640.0,180.0,12,5.0,0.0,0.0,0,0
28,PwP,14,0,,1155.0,600.0,40,9.0,0.0,0.0,2,0
29,Group,14,0,,2640.0,180.0,12,5.0,0.0,0.0,0,0
30,PwP,15,0,,1245.0,645.0,43,9.0,0.0,0.0,2,0
31,Group,15,0,,2640.0,180.0,12,5.0,0.0,0.0,0,0
32,PwP,16,0,,1335.0,690.0,46,9.0,0.0,0.0,2,0
33,Group,16,0,,2640.0,180.0,12,5.0,0.0,0.0,0,0
34,PwP,17,0,,1395.0,720.0,48,9.0,0.0,0.0,2,0
35,Group,17,0,,2640.0,180.0,12,5.0,0.0,0.0,0,0
36,PwP,18,0,,1515.0,780.0,52,9.0,0.0,0.0,2,0
37,Group,18,0,,2640.0,180.0,12,5.0,0.0,0.0,0,0
38,PwP,19,0,,1635.0,840.0,56,10.0,0.0,0.0,2,0
39,Group,19,0,,2640.0,180.0,12,5.0,0.0,0.0,0,0
40,PwP,20,0,,1725.0,885.0,59,10.0,0.0,0.0,1,0
41,Group,20,0,,2640.0,180.0,12,5.0,0.0,0.0,0,0
42,PwP,21,0,,1815.0,930.0,62,11.0,0.0,0.0,1,0
43,Group,21,1,,3360.0,225.0,15,7.0,0.0,0.0,0,0
44,PwP,22,0,,1905.0,975.0,65,11.0,0.0,0.0,1,0
45,Group,22,1,,4080.0,270.0,18,10.0,0.0,0.0,0,0
46,PwP,23,0,,2025.0,1035.0,69,12.0,0.0,0.0,1,0
47,Group,23,0,,4800.0,315.0,21,12.0,0.0,0.0,0,0
48,PwP,24,0,,2145.0,1095.0,73,12.0,0.0,0.0,1,0
49,Group,24,0,,4800.0,315.0,21,12.0,0.0,0.0,0,0
50,PwP,25,0,,2235.0,1140.0,76,13.0,0.0,0.0,1,0
51,Group,25,0,,4800.0,315.0,21,12.0,0.0,0.0,0,0
52,PwP,26,0,,2295.0,1170.0,78,13.0,0.0,0.0,1,0
53,Group,26,0,,4800.0,315.0,21,12.0,0.0,0.0,0,0
54,PwP,27,0,,2385.0,1215.0,81,14.0,0.0,0.0,1,0
55,Group,27,0,,4800.0,315.0,21,12.0,0.0,0.0,0,0
56,PwP,28,0,,2475.0,1260.0,84,14.0,0.0,0.0,0,0
57,Group,28,0,,4800.0,315.0,21,12.0,0.0,0.0,0,0
58,PwP,29,0,,2595.0,1320.0,88,16.0,0.0,0.0,0,0
59,Group,29,0,,4800.0,315.0,21,12.0,0.0,0.0,0,0
60,PwP,30,0,,2625.0,1335.0,89,16.0,0.0,0.0,0,0
61,Group,30,1,,5520.0,360.0,24,14.0,0.0,0.0,0,0
62,PwP,31,0,,2715.0,1380.0,92,17.0,0.0,0.0,0,0
63,Group,31,1,,6240.0,405.0,27,16.0,0.0,0.0,0,0
64,PwP,32,0,,2805.0,1425.0,95,17.0,0.0,0.0,0,0
65,Group,32,0,,6960.0,450.0,30,19.0,0.0,0.0,0,0
66,PwP,33,0,,2865.0,1455.0,97,18.0,0.0,0.0,0,0
67,Group,33,0,,6960.0,450.0,30,19.0,0.0,0.0,0,0
68,PwP,34,0,,2985.0,1515.0,101,18.0,0.0,0.0,0,0
69,Group,34,0,,6960.0,450.0,30,19.0,0.0,0.0,0,0
70,PwP,35,0,,3045.0,1545.0,103,19.0,0.0,0.0,0,0
71,Group,35,0,,6960.0,450.0,30,19.0,0.0,0.0,0,0
72,PwP,36,0,,3135.0,1590.0,106,19.0,0.0,0.0,0,0
73,Group,36,0,,6960.0,450.0,30,19.0,0.0,0.0,0,0
74,PwP,37,0,,3225.0,1635.0,109,19.0,0.0,0.0,0,0
75,Group,37,0,,6960.0,450.0,30,19.0,0.0,0.0,0,0
76,PwP,38,0,,3375.0,1710.0,114,20.0,0.0,0.0,0,0
77,Group,38,0,,6960.0,450.0,30,19.0,0.0,0.0,0,0
78,PwP,39,0,,3465.0,1755.0,117,20.0,0.0,0.0,0,0
79,Group,39,1,,7680.0,495.0,33,21.0,0.0,0.0,0,0
80,PwP,40,0,,3525.0,1785.0,119,21.0,0.0,0.0,0,0
81,Group,40,1,,8400.0,540.0,36,21.0,0.0,0.0,0,0
82,PwP,41,0,,3615.0,1830.0,122,23.0,0.0,0.0,0,0
83,Group,41,0,,8640.0,555.0,37,21.0,0.0,0.0,0,0
84,PwP,42,0,,3705.0,1875.0,125,24.0,0.0,0.0,0,0
85,Group,42,0,,8640.0,555.0,37,21.0,0.0,0.0,0,0
86,PwP,43,0,,3795.0,1920.0,128,24.0,0.0,0.0,0,0
87,Group,43,0,,8640.0,555.0,37,21.0,0.0,0.0,0,0
88,PwP,44,0,,3915.0,1980.0,132,25.0,0.0,0.0,0,0
89,Group,44,0,,8640.0,555.0,37,21.0,0.0,0.0,0,0
90,PwP,45,0,,3990.0,2010.0,134,27.0,0.0,0.0,0,0
91,Group,45,0,,8640.0,555.0,37,21.0,0.0,0.0,0,0
92,PwP,46,0,,4110.0,2070.0,138,27.0,0.0,0.0,0,0
93,Group,46,0,,8640.0,555.0,37,21.0,0.0,0.0,0,0
94,PwP,47,0,,4230.0,2130.0,142,27.0,0.0,0.0,0,0
95,Group,47,0,,8640.0,555.0,37,21.0,0.0,0.0,0,0
96,PwP,48,0,,4320.0,2175.0,145,27.0,0.0,0.0,0,0
97,Group,48,0,,8640.0,555.0,37,21.0,0.0,0.0,0,0
98,PwP,49,0,,4410.0,2220.0,148,28.0,0.0,0.0,0,0
99,Group,49,0,,8640.0,555.0,37,21.0,0.0,0.0,0,0
100,PwP,50,0,,4500.0,2265.0,151,29.0,0.0,0.0,0,0
101,Group,50,0,,8640.0,555.0,37,21.0,0.0,0.0,0,0
102,PwP,51,0,,4650.0,2340.0,156,31.0,0.0,0.0,0,0
103,Group,51,0,,8640.0,555.0,37,21.0,0.0,0.0,0,0
0,PwP,0,0,,0.0,0.0,0,0.0,0.0,0.0,0,1
1,Group,0,0,,0.0,0.0,0,0.0,0.0,0.0,0,1
