,Caseload ID,Caseload Level,Run Number,Week Number
199,cbt_7,24,0,6
200,cbt_8,25,0,6
201,cbt_9,25,0,6
202,cbt_10,25,0,6
203,cbt_11,23,0,6
204,cbt_12,25,0,6
205,cbt_13,25,0,6
206,couns_0,22,0,6
207,couns_1,21,0,6
208,couns_2,23,0,6
209,couns_3,24,0,6
210,pwp_0,43,0,7
211,pwp_1,40,0,7
212,pwp_2,40,0,7
213,pwp_3,45,0,7
214,pwp_4,39,0,7
215,pwp_5,43,0,7
216,pwp_6,38,0,7
217,pwp_7,36,0,7
218,pwp_8,37,0,7
219,pwp_9,39,0,7
220,pwp_10,36,0,7
221,pwp_11,45,0,7
222,cbt_0,25,0,7
223,cbt_1,23,0,7
224,cbt_2,24,0,7
225,cbt_3,24,0,7
226,cbt_4,25,0,7
227,cbt_5,23,0,7
228,cbt_6,24,0,7
229,cbt_7,24,0,7
230,cbt_8,25,0,7
231,cbt_9,25,0,7
232,cbt_10,25,0,7
233,cbt_11,23,0,7
234,cbt_12,25,0,7
235,cbt_13,25,0,7
236,couns_0,22,0,7
237,couns_1,20,0,7
238,couns_2,23,0,7
239,couns_3,24,0,7
240,pwp_0,42,0,8
241,pwp_1,38,0,8
242,pwp_2,39,0,8
243,pwp_3,45,0,8
244,pwp_4,38,0,8
245,pwp_5,43,0,8
246,pwp_6,38,0,8
247,pwp_7,36,0,8
248,pwp_8,36,0,8
249,pwp_9,39,0,8
250,pwp_10,36,0,8
251,pwp_11,44,0,8
252,cbt_0,25,0,8
253,cbt_1,23,0,8
254,cbt_2,23,0,8
255,cbt_3,24,0,8
256,cbt_4,25,0,8
257,cbt_5,23,0,8
258,cbt_6,24,0,8
259,cbt_7,24,0,8
260,cbt_8,25,0,8
261,cbt_9,24,0,8
262,cbt_10,25,0,8
263,cbt_11,23,0,8
264,cbt_12,25,0,8
265,cbt_13,25,0,8
266,couns_0,21,0,8
267,couns_1,19,0,8
268,couns_2,23,0,8
269,couns_3,23,0,8
270,pwp_0,42,0,9
271,pwp_1,38,0,9
272,pwp_2,38,0,9
273,pwp_3,46,0,9
274,pwp_4,37,0,9
275,pwp_5,39,0,9
276,pwp_6,37,0,9
277,pwp_7,32,0,9
278,pwp_8,35,0,9
279,pwp_9,39,0,9
280,pwp_10,35,0,9
281,pwp_11,44,0,9
282,cbt_0,25,0,9
283,cbt_1,23,0,9
